# Time-averaged data for fix 4
# TimeStep v_sigma_xx v_sigma_yy v_sigma_zz v_f_tether
268000 -0.0175602 0.0175602 0.0102661 18.4384
269000 -0.0241354 0.0241354 0.0508695 91.3638
270000 0.018301 -0.018301 0.0107742 19.3509
271000 -0.00617879 0.00617879 0.0486661 87.4063
272000 0.00134012 -0.00134012 0.0104178 18.7109
273000 -0.011914 0.011914 0.0213718 38.3846
274000 -0.0276141 0.0276141 0.057381 103.059
275000 0.0044683 -0.0044683 0.0162026 29.1006
276000 -0.00865635 0.00865635 0.00608221 10.9239
277000 0.0049516 -0.0049516 -0.0550351 -98.8454
278000 0.00159332 -0.00159332 0.0301971 54.2352
279000 -0.000631765 0.000631765 0.0302474 54.3257
280000 0.0301665 -0.0301665 -0.0148216 -26.6203
281000 -0.0375407 0.0375407 -0.0214144 -38.4612
282000 -0.0164807 0.0164807 0.0284339 51.0685
283000 0.0315141 -0.0315141 0.00036239 0.650868
284000 -0.00936286 0.00936286 -0.0148062 -26.5927
285000 -0.00989346 0.00989346 0.0252115 45.2809
286000 0.0508923 -0.0508923 -0.0303637 -54.5346
287000 -0.00046597 0.00046597 -0.00836555 -15.0249
288000 -0.0104738 0.0104738 0.0513237 92.1796
289000 -0.0364499 0.0364499 0.028593 51.3542
290000 0.0233158 -0.0233158 -0.0973107 -174.774
291000 -0.00187419 0.00187419 0.0352212 63.2588
292000 0.0531057 -0.0531057 0.0461913 82.9616
293000 -0.00369167 0.00369167 -0.0140425 -25.2209
294000 -0.00256074 0.00256074 0.00811263 14.5706
295000 -0.00340412 0.00340412 0.0713026 128.062
296000 -0.0323423 0.0323423 0.0184515 33.1397
297000 -0.0125077 0.0125077 0.0288284 51.777
298000 -0.00852477 0.00852477 0.0226432 40.6681
299000 -0.0295448 0.0295448 0.0107532 19.3131
300000 0.00698885 -0.00698885 -0.00720905 -12.9478
301000 0.0092195 -0.0092195 0.0282314 50.7048
302000 0.0134552 -0.0134552 0.0314637 56.5102
303000 -0.051056 0.051056 0.010321 18.537
304000 -0.00070457 0.00070457 0.0167366 30.0597
305000 -0.0252056 0.0252056 0.0222851 40.025
306000 0.0165643 -0.0165643 0.0291246 52.309
307000 0.0314323 -0.0314323 0.0301104 54.0795
308000 0.0196859 -0.0196859 0.00441505 7.92962
