# Time-averaged data for fix 4
# TimeStep v_sigma_xx_lip v_sigma_yy_lip v_sigma_zz_lip
219000 -0.0021481 0.0021481 0.0203404
220000 0.000671136 -0.000671136 0.0170595
221000 0.00373216 -0.00373216 0.00948322
222000 0.000803119 -0.000803119 0.00668426
223000 -0.00104602 0.00104602 0.00919925
224000 0.00203218 -0.00203218 0.00488139
225000 -0.000278634 0.000278634 0.014827
226000 0.0022808 -0.0022808 0.0183816
227000 0.00212304 -0.00212304 0.0206404
228000 0.000940565 -0.000940565 0.0127303
229000 0.000207708 -0.000207708 0.00994159
230000 -0.00186104 0.00186104 0.00542872
231000 -1.08174e-05 1.08174e-05 0.0130969
232000 0.000863552 -0.000863552 0.0174185
233000 0.00027887 -0.00027887 0.0249034
234000 -0.00101336 0.00101336 0.00433987
235000 -0.00102777 0.00102777 0.00878169
236000 -0.000257773 0.000257773 0.00464712
237000 -0.000226078 0.000226078 0.00889813
238000 -0.00126456 0.00126456 0.0154866
239000 0.000363544 -0.000363544 0.0148024
240000 -0.000189356 0.000189356 0.0153065
241000 0.00025633 -0.00025633 0.0247806
242000 0.00201519 -0.00201519 0.015183
243000 0.000718737 -0.000718737 0.0175834
244000 0.000636553 -0.000636553 0.0164392
245000 -0.000592188 0.000592188 0.0162121
246000 0.000908958 -0.000908958 0.00270024
247000 -0.00192471 0.00192471 0.0159323
248000 -0.000739932 0.000739932 0.010348
249000 0.000741076 -0.000741076 0.0146467
250000 0.00181354 -0.00181354 0.00770109
251000 0.000473102 -0.000473102 0.0116538
252000 -0.00248112 0.00248112 0.0153316
253000 0.00200943 -0.00200943 0.00746706
254000 0.00125731 -0.00125731 0.009417
255000 0.00224583 -0.00224583 0.00796411
256000 0.00135713 -0.00135713 0.00633748
257000 -0.000741359 0.000741359 0.018789
258000 -0.0014408 0.0014408 0.007914
259000 -0.0019631 0.0019631 0.0165521
260000 -0.00121488 0.00121488 0.0131654
261000 0.00058569 -0.00058569 0.00346907
262000 0.00264094 -0.00264094 0.0115509
263000 0.000752103 -0.000752103 0.0104195
264000 -0.000752471 0.000752471 0.00636981
265000 0.00192096 -0.00192096 0.0176672
266000 0.00207231 -0.00207231 0.0153194
267000 -0.00119863 0.00119863 0.0123827
268000 -0.00186026 0.00186026 0.0221885
269000 -0.00023884 0.00023884 0.0179826
270000 -0.0025944 0.0025944 0.0172424
271000 0.0020443 -0.0020443 0.0166469
272000 -0.00168682 0.00168682 0.0108358
273000 0.00149883 -0.00149883 0.000135502
274000 0.00140101 -0.00140101 0.00378825
275000 -0.000643614 0.000643614 0.00772273
276000 -0.000763523 0.000763523 0.00941584
277000 0.0013128 -0.0013128 0.0138799
278000 -0.000793393 0.000793393 0.0135307
279000 -0.001268 0.001268 0.013294
280000 -8.49437e-05 8.49437e-05 0.0224715
281000 0.00275982 -0.00275982 0.0163706
282000 0.00421785 -0.00421785 0.00848388
283000 0.00042272 -0.00042272 0.0113313
284000 0.000410791 -0.000410791 0.016722
285000 0.000397633 -0.000397633 0.0117758
286000 -0.00262449 0.00262449 0.0142073
287000 0.000126154 -0.000126154 0.0170409
288000 0.00246534 -0.00246534 0.0117066
289000 -0.00197577 0.00197577 0.0108025
290000 -0.00177837 0.00177837 0.0103897
291000 -0.00415662 0.00415662 0.0111963
292000 -0.0011035 0.0011035 0.0080832
293000 0.00292411 -0.00292411 0.0157247
294000 0.00130617 -0.00130617 0.0163653
295000 -0.00243622 0.00243622 0.0124764
296000 0.00174502 -0.00174502 0.016051
297000 -0.000604607 0.000604607 0.0122401
298000 -0.00112291 0.00112291 0.013161
299000 -0.000673917 0.000673917 0.0141489
300000 0.00033728 -0.00033728 0.0136361
301000 0.00164993 -0.00164993 0.00531776
302000 0.00045082 -0.00045082 0.0147216
303000 0.000730844 -0.000730844 0.020916
304000 0.00467109 -0.00467109 0.0145015
305000 -0.00106638 0.00106638 0.0122164
306000 0.00270197 -0.00270197 0.0158437
307000 -0.000383589 0.000383589 0.0197266
308000 -0.0033775 0.0033775 0.0106459
309000 0.00179879 -0.00179879 0.0209155
310000 0.000741175 -0.000741175 0.0199173
311000 0.0028687 -0.0028687 0.0167043
312000 -0.00169529 0.00169529 0.00917687
313000 -0.00160448 0.00160448 0.00901752
314000 0.00135341 -0.00135341 0.0144533
315000 -0.000277543 0.000277543 0.016657
316000 0.00150403 -0.00150403 0.00680831
317000 -0.00283821 0.00283821 0.0143809
318000 -0.000307499 0.000307499 0.00867132
319000 0.00198833 -0.00198833 0.0130507
320000 0.00203229 -0.00203229 0.0104182
321000 -0.00107464 0.00107464 0.0162659
322000 -8.55713e-05 8.55713e-05 0.00822654
323000 -0.000608503 0.000608503 0.00970603
324000 -0.000815013 0.000815013 0.0140595
325000 0.00188274 -0.00188274 0.0177042
326000 -3.06986e-05 3.06986e-05 0.00681517
327000 0.00141158 -0.00141158 0.0106721
328000 0.00140924 -0.00140924 0.00359573
329000 -0.00138618 0.00138618 0.00664821
330000 -0.00280717 0.00280717 0.0170164
331000 0.00224614 -0.00224614 0.0240671
332000 0.00119698 -0.00119698 0.0159025
333000 0.0010954 -0.0010954 0.00855599
334000 -0.000444344 0.000444344 0.0087591
335000 5.58914e-05 -5.58914e-05 0.0112159
336000 -0.000918514 0.000918514 0.0113214
337000 -0.000829975 0.000829975 0.00582766
338000 -1.76587e-05 1.76587e-05 0.0086313
339000 0.00361257 -0.00361257 0.0102929
340000 0.00232642 -0.00232642 0.0151754
341000 0.00167247 -0.00167247 0.00692769
342000 -0.00107498 0.00107498 0.0189495
343000 -0.000563167 0.000563167 0.012212
344000 0.000423328 -0.000423328 0.0173456
345000 0.00133553 -0.00133553 0.00598731
346000 -0.000956819 0.000956819 0.00881953
347000 0.000140713 -0.000140713 0.0194319
348000 -0.00118305 0.00118305 0.0154116
349000 -0.000986129 0.000986129 0.019001
350000 0.00333917 -0.00333917 0.00742398
351000 -0.000850298 0.000850298 0.0113897
352000 0.00535188 -0.00535188 0.0107712
353000 -0.0030237 0.0030237 0.00811429
354000 -0.000187011 0.000187011 0.0124292
355000 0.00115495 -0.00115495 0.0084308
356000 -0.00171706 0.00171706 0.0139492
357000 0.000237127 -0.000237127 0.00976205
358000 -0.000276563 0.000276563 0.018159
359000 -0.00154997 0.00154997 0.0125088
360000 -0.00146059 0.00146059 0.0128977
361000 -0.00211257 0.00211257 0.0157769
362000 0.00308521 -0.00308521 0.0186028
363000 -0.000954776 0.000954776 0.0262118
364000 0.00489441 -0.00489441 0.0161981
365000 -0.00297573 0.00297573 0.00615081
366000 9.35675e-05 -9.35675e-05 0.00467677
367000 -0.000260809 0.000260809 0.0181112
368000 -0.000669322 0.000669322 0.0125995
369000 0.000406886 -0.000406886 0.00212359
370000 -0.00147487 0.00147487 0.000437197
371000 0.00227777 -0.00227777 0.00698611
372000 0.000491 -0.000491 0.016225
373000 -9.45357e-05 9.45357e-05 0.0135228
374000 -3.92283e-05 3.92283e-05 0.0146776
375000 0.00110876 -0.00110876 0.0125062
376000 -0.000561074 0.000561074 0.0142547
377000 -0.000932195 0.000932195 0.00603939
378000 -0.00214103 0.00214103 0.00886963
379000 0.000788663 -0.000788663 0.0150325
380000 0.00186363 -0.00186363 0.0105456
381000 -0.000432474 0.000432474 0.0116336
382000 0.000315317 -0.000315317 0.0136694
383000 0.00173621 -0.00173621 0.00556486
384000 0.00195061 -0.00195061 0.0133085
385000 -0.00373597 0.00373597 0.0161088
386000 0.000924041 -0.000924041 0.016519
387000 0.00159577 -0.00159577 0.0150264
388000 0.00198585 -0.00198585 0.0136777
389000 -0.00200206 0.00200206 0.0118006
390000 0.000248459 -0.000248459 0.017821
391000 -0.00126234 0.00126234 0.00631413
392000 -0.000262753 0.000262753 0.000238427
393000 0.00118608 -0.00118608 0.00849057
394000 0.000620885 -0.000620885 0.00759781
395000 -0.000375332 0.000375332 -0.00376138
396000 -0.00117811 0.00117811 0.00913122
397000 -0.00150475 0.00150475 0.00666373
398000 -0.00339535 0.00339535 0.00754023
399000 -2.71175e-05 2.71175e-05 0.00961146
400000 -0.00313455 0.00313455 0.0225956
401000 -0.0015205 0.0015205 0.0137505
402000 -0.000710828 0.000710828 0.00628656
403000 0.00162839 -0.00162839 0.00589449
404000 -0.0012035 0.0012035 0.00783296
405000 0.00199193 -0.00199193 0.00575958
406000 0.0011198 -0.0011198 0.00789574
407000 -0.00227764 0.00227764 0.0202761
408000 0.00412137 -0.00412137 0.00793852
409000 0.000656005 -0.000656005 0.00220122
410000 -0.00167642 0.00167642 0.0146856
411000 -0.00359642 0.00359642 0.00841486
412000 -0.00237396 0.00237396 0.00872739
413000 -0.00119881 0.00119881 0.00175628
414000 -0.000132937 0.000132937 0.00828392
415000 -0.00010094 0.00010094 0.0164024
416000 5.9793e-05 -5.9793e-05 0.00935472
417000 -0.0012691 0.0012691 0.0121873
418000 -0.0021065 0.0021065 0.0112426
419000 0.00183887 -0.00183887 0.0106464
420000 -0.000827317 0.000827317 0.00770796
421000 -0.000205315 0.000205315 0.0098516
422000 0.000504259 -0.000504259 0.0100997
423000 -0.00125715 0.00125715 0.00730538
424000 -0.00159129 0.00159129 0.0142393
425000 0.00110401 -0.00110401 0.0240403
426000 -0.0049175 0.0049175 0.00250473
427000 0.000503505 -0.000503505 0.00948784
428000 -0.000497955 0.000497955 0.0148003
429000 -0.000198075 0.000198075 0.0133889
430000 0.00283916 -0.00283916 0.0111401
431000 -0.00132304 0.00132304 0.0029661
432000 -0.00134831 0.00134831 0.00610768
433000 0.00126404 -0.00126404 0.0175729
434000 -0.0019653 0.0019653 0.0017061
435000 0.00358609 -0.00358609 0.00229845
436000 0.000351503 -0.000351503 0.0097341
437000 0.00134073 -0.00134073 0.000680786
438000 0.00135318 -0.00135318 0.0157043
439000 -0.000772697 0.000772697 0.0204823
440000 -0.000235492 0.000235492 0.0158007
441000 -0.0011357 0.0011357 0.0084538
442000 0.0013164 -0.0013164 0.00972928
443000 -6.72812e-06 6.72812e-06 0.00505749
444000 -0.00080155 0.00080155 0.00852393
445000 0.000536391 -0.000536391 0.0136787
446000 -0.00127021 0.00127021 0.0017084
447000 0.000114158 -0.000114158 0.0163654
448000 -0.000137589 0.000137589 0.00280186
449000 -0.00100283 0.00100283 0.0129688
450000 0.000995183 -0.000995183 0.0171331
451000 0.000242569 -0.000242569 0.01096
452000 0.00120791 -0.00120791 -0.00101331
453000 -0.00105999 0.00105999 -0.00429976
454000 -0.00096357 0.00096357 0.00785936
455000 -0.00441824 0.00441824 0.0115965
456000 -0.000870524 0.000870524 0.0137863
457000 -0.00120385 0.00120385 0.00661117
458000 0.00286015 -0.00286015 0.0117638
459000 0.0014254 -0.0014254 0.00824795
460000 -0.00213148 0.00213148 0.0104444
461000 0.00151842 -0.00151842 0.00971027
462000 0.00430419 -0.00430419 0.0133903
463000 0.000482756 -0.000482756 0.0167022
464000 0.000978958 -0.000978958 0.0194715
465000 -0.00342788 0.00342788 0.00591701
466000 0.000807294 -0.000807294 0.00305412
467000 0.00073334 -0.00073334 0.0152589
468000 0.000848141 -0.000848141 0.0222036
469000 -0.00236605 0.00236605 0.0117505
470000 0.00174973 -0.00174973 0.011681
471000 0.00150104 -0.00150104 0.0106106
472000 0.00138863 -0.00138863 0.0169372
473000 0.000478563 -0.000478563 0.0147553
474000 -0.00068837 0.00068837 0.00878801
475000 0.00262505 -0.00262505 0.0095881
476000 -0.000297679 0.000297679 0.0122587
477000 0.000310259 -0.000310259 0.0200467
478000 0.00238659 -0.00238659 0.0233093
479000 0.00264327 -0.00264327 0.0106333
480000 0.000251953 -0.000251953 0.0119182
481000 -0.00023712 0.00023712 0.0110086
482000 0.000802058 -0.000802058 0.0209551
483000 0.00107401 -0.00107401 0.019166
484000 -0.0026459 0.0026459 0.0132137
485000 0.00423964 -0.00423964 0.0165219
486000 0.000907935 -0.000907935 0.00958324
487000 -0.00308466 0.00308466 0.0214241
488000 0.00261461 -0.00261461 0.0230276
489000 0.00141099 -0.00141099 0.0129755
490000 -0.00147704 0.00147704 0.0151149
